"block_id","block_cpu_time","line_text","line_time"
"200","","nop dword ptr [rax+rax*1]",""
"200","","mov dword ptr [r15+0x484], 0xfffffff5",""
"200","","mov qword ptr [r15+0x490], 0x0",""
"200","","call 0x7faf2805417a",""
"16","0.613","nop dword ptr [rax]","0.256"
"16","0.613","cmp dword ptr [r11+0xc], 0x6","0.148"
"16","0.613","jb 0x7faf280c3308 <Block 149>","0.208"
"111","0.121","mov r11, rsi","0.015"
"111","0.121","mov edx, dword ptr [rsp+0x30]","0.013"
"111","0.121","data16 nop","0.029"
"111","0.121","nop","0.021"
"111","0.121","data16 nop","0.028"
"111","0.121","call 0x7faf2804e380 <resolve_opt_virtual_call>","0.015"
"232","","nop dword ptr [rax+rax*1]",""
"232","","mov dword ptr [r15+0x484], 0xfffffff5",""
"232","","mov qword ptr [r15+0x490], 0x0",""
"232","","call 0x7faf2805417a",""
"17","0.412","cmp byte ptr [r11+0x15], 0x0","0.188"
"17","0.412","jnz 0x7faf280c2a9f <Block 50>","0.223"
"112","0.050","nop dword ptr [rax+rax*1+0x2b000af8]","0.032"
"112","0.050","test eax, eax","0.018"
"112","0.050","jnz 0x7faf280c31f6 <Block 133>",""
"233","","nop dword ptr [rax+rax*1]",""
"233","","call 0x7faf280b4600 <Stub<ExceptionHandlerStub::exceptionHandler>>",""
"18","0.638","nop word ptr [rax+rax*1]","0.206"
"18","0.638","cmp dword ptr [r11+0xc], 0x7","0.219"
"18","0.638","jb 0x7faf280c3251 <Block 139>","0.212"
"230","","nop dword ptr [rax+rax*1]",""
"230","","mov dword ptr [r15+0x484], 0xfffffff5",""
"230","","mov qword ptr [r15+0x490], 0x0",""
"230","","call 0x7faf2805417a",""
"19","0.409","cmp byte ptr [r11+0x16], 0x0","0.195"
"19","0.409","jnz 0x7faf280c2aff <Block 55>","0.213"
"110","0.167","mov ebx, dword ptr [rsp+0x34]","0.035"
"110","0.167","mov dword ptr [r9*8+0x24], ebx","0.020"
"110","0.167","mov byte ptr [r11+0x15], 0x0","0.029"
"110","0.167","mov byte ptr [r10+rdx*8+0x10], 0x0","0.027"
"110","0.167","mov byte ptr [rcx+r8*8+0x10], 0x0","0.038"
"110","0.167","cmp ebx, 0x7","0.019"
"110","0.167","jz 0x7faf280c3212 <Block 135>",""
"231","","nop dword ptr [rax+rax*1]",""
"231","","mov dword ptr [r15+0x484], 0xfffffff5",""
"231","","mov qword ptr [r15+0x490], 0x0",""
"231","","call 0x7faf2805417a",""
