"block_id","block_cpu_time","line_text","line_time"
"12","1.556","mov edx, dword ptr [rsp+0x34]","0.268"
"12","1.556","lea r10d, ptr [rdx+0x4]","0.179"
"12","1.556","mov dword ptr [rsp+0x10], r10d","0.257"
"12","1.556","lea r9d, ptr [rdx+0x3]","0.191"
"12","1.556","mov dword ptr [rsp+0xc], r9d","0.231"
"12","1.556","cmp byte ptr [r11+0x13], 0x0","0.198"
"12","1.556","jnz 0x7faf280c2a05 <Block 40>","0.231"
"13","0.113","mov r8d, r10d","0.113"
"14","0.459","cmp dword ptr [r11+0xc], 0x5","0.312"
"14","0.459","jb 0x7faf280c32be <Block 145>","0.147"
"15","0.413","cmp byte ptr [r11+0x14], 0x0","0.198"
"15","0.413","jnz 0x7faf280c2a54 <Block 45>","0.215"
"10","0.100","mov r8d, r10d","0.100"
"11","0.368","cmp dword ptr [r11+0xc], 0x4","0.219"
"11","0.368","jb 0x7faf280c348d <Block 170>","0.148"
"104","0.053","nop dword ptr [rax+rax*1+0x26000a30]","0.028"
"104","0.053","test eax, eax","0.025"
"104","0.053","jnz 0x7faf280c31f6 <Block 133>",""
"225","","nop dword ptr [rax+rax*1]",""
"225","","mov dword ptr [r15+0x484], 0xfffffff5",""
"225","","mov qword ptr [r15+0x490], 0x0",""
"225","","call 0x7faf2805417a",""
"105","0.184","mov r10d, dword ptr [rsp+0x10]","0.018"
"105","0.184","mov rsi, qword ptr [rsp]","0.039"
"105","0.184","mov edx, dword ptr [rsi+0x10]","0.029"
"105","0.184","mov r11d, dword ptr [rdx*8+0xc]","0.017"
"105","0.184","mov r8d, dword ptr [rsi+0xc]","0.043"
"105","0.184","cmp r10d, dword ptr [r8*8+0xc]","0.039"
"105","0.184","jnb 0x7faf280c343b <Block 165>",""
"226","","nop dword ptr [rax+rax*1]",""
"226","","mov dword ptr [r15+0x484], 0xfffffff5",""
"226","","mov qword ptr [r15+0x490], 0x0",""
"226","","call 0x7faf2805417a",""
"102","0.165","mov ebx, dword ptr [rsp+0x34]","0.031"
"102","0.165","mov dword ptr [rcx*8+0x20], ebx","0.024"
"102","0.165","mov byte ptr [r11+0x14], 0x0","0.044"
"102","0.165","mov byte ptr [r8+rdx*8+0x10], 0x0","0.023"
"102","0.165","mov byte ptr [r9+r10*8+0x10], 0x0","0.024"
"102","0.165","cmp ebx, 0x7","0.020"
"102","0.165","jz 0x7faf280c3212 <Block 135>",""
"223","","nop dword ptr [rax+rax*1]",""
"223","","mov dword ptr [r15+0x484], 0xfffffff5",""
"223","","mov qword ptr [r15+0x490], 0x0",""
"223","","call 0x7faf2805417a",""
"103","0.079","mov r11, rsi","0.018"
"103","0.079","mov edx, dword ptr [rsp+0x30]","0.027"
"103","0.079","nop","0.023"
"103","0.079","call 0x7faf2804e380 <resolve_opt_virtual_call>","0.011"
"224","","nop dword ptr [rax+rax*1]",""
"224","","mov dword ptr [r15+0x484], 0xfffffff5",""
"224","","mov qword ptr [r15+0x490], 0x0",""
"224","","data16 nop",""
"224","","call 0x7faf2805417a",""
"108","0.217","mov byte ptr [rdx*8+0x14], 0x1","0.022"
"108","0.217","mov byte ptr [r10+r8*8+0x10], 0x1","0.084"
"108","0.217","mov byte ptr [r9+rcx*8+0x10], 0x1","0.043"
"108","0.217","shl rdx, 0x3","0.013"
"108","0.217","mov r11, rdx","0.021"
"108","0.217","jmp 0x7faf280c2899 <Block 16>","0.035"
"229","","nop dword ptr [rax+rax*1]",""
"229","","mov dword ptr [r15+0x484], 0xfffffff5",""
"229","","mov qword ptr [r15+0x490], 0x0",""
"229","","call 0x7faf2805417a",""
"109","0.121","mov r9d, dword ptr [rsi+0x18]","0.024"
"109","0.121","nop dword ptr [rax]","0.037"
"109","0.121","cmp dword ptr [r9*8+0xc], 0x6","0.017"
"109","0.121","jb 0x7faf280c3308 <Block 149>","0.043"
"106","0.136","mov r9d, dword ptr [rsp+0xc]","0.069"
"106","0.136","mov ecx, dword ptr [rsi+0x14]","0.016"
"106","0.136","data16 nop","0.025"
"106","0.136","cmp r9d, dword ptr [rcx*8+0xc]","0.026"
"106","0.136","jnb 0x7faf280c343b <Block 165>",""
"227","","nop dword ptr [rax+rax*1]",""
"227","","mov dword ptr [r15+0x484], 0xfffffff5",""
"227","","mov qword ptr [r15+0x490], 0x0",""
"227","","call 0x7faf2805417a",""
"107","0.052","cmp r11d, 0x5","0.052"
"107","0.052","jb 0x7faf280c343b <Block 165>",""
"228","","nop dword ptr [rax+rax*1]",""
"228","","mov dword ptr [r15+0x484], 0xfffffff5",""
"228","","mov qword ptr [r15+0x490], 0x0",""
"228","","call 0x7faf2805417a",""
"240","","jmp 0x7faf280c3c00 <Block 240>",""
"122","0.164","mov r9d, dword ptr [rsp+0x30]","0.119"
"122","0.164","mov ecx, dword ptr [rsi+0x14]","0.030"
"122","0.164","data16 nop","0.010"
"122","0.164","cmp r9d, dword ptr [rcx*8+0xc]","0.006"
"122","0.164","jnb 0x7faf280c3414 <Block 163>",""
"243","","mov rbx, 0x0",""
"123","0.084","cmp r11d, 0x7","0.084"
"123","0.084","jb 0x7faf280c3414 <Block 163>",""
"244","","jmp 0x7faf280c3c1e <Block 244>",""
"120","0.052","nop dword ptr [rax+rax*1+0x30000bb0]","0.030"
"120","0.052","test eax, eax","0.022"
"120","0.052","jnz 0x7faf280c31f6 <Block 133>",""
"241","","mov rbx, 0x0",""
"121","0.285","mov r10d, dword ptr [rsp+0x1c]","0.024"
"121","0.285","mov rsi, qword ptr [rsp]","0.063"
"121","0.285","mov edx, dword ptr [rsi+0x10]","0.013"
"121","0.285","mov r11d, dword ptr [rdx*8+0xc]","0.026"
"121","0.285","mov r8d, dword ptr [rsi+0xc]","0.135"
"121","0.285","cmp r10d, dword ptr [r8*8+0xc]","0.025"
"121","0.285","jnb 0x7faf280c3414 <Block 163>",""
"242","","jmp 0x7faf280c3c0f <Block 242>",""
"4","2.162","mov r11d, r10d","0.185"
"4","2.162","shl r11, 0x3","0.240"
"4","2.162","mov r8d, edx","0.209"
"4","2.162","inc r8d","0.234"
"4","2.162","mov dword ptr [rsp+0x30], r8d","0.179"
"4","2.162","lea r9d, ptr [rdx+0x7]","0.249"
"4","2.162","mov dword ptr [rsp+0x2c], r9d","0.212"
"4","2.162","cmp byte ptr [r10*8+0x10], 0x0","0.245"
"4","2.162","jnz 0x7faf280c2912 <Block 25>","0.408"
"3","1.623","mov qword ptr [rsp+0x40], rbp","0.220"
"3","1.623","mov qword ptr [rsp], rsi","0.240"
"3","1.623","mov dword ptr [rsp+0x34], edx","0.275"
"3","1.623","mov r10d, dword ptr [rsi+0x10]","0.164"
"3","1.623","cmp dword ptr [r10*8+0xc], 0x0","0.255"
"3","1.623","jz 0x7faf280c322e <Block 137>","0.468"
"6","0.827","lea r10d, ptr [rdx+0x6]","0.163"
"6","0.827","mov dword ptr [rsp+0x1c], r10d","0.189"
"6","0.827","cmp byte ptr [r11+0x11], 0x0","0.222"
"6","0.827","jnz 0x7faf280c295f <Block 30>","0.252"
"5","0.446","cmp dword ptr [r11+0xc], 0x2","0.213"
"5","0.446","jb 0x7faf280c3278 <Block 141>","0.233"
"8","0.468","cmp dword ptr [r11+0xc], 0x3","0.278"
"8","0.468","jb 0x7faf280c349f <Block 172>","0.190"
"7","0.358","mov r8d, dword ptr [rsp+0x30]","0.145"
"7","0.358","mov r9d, r10d","0.212"
"9","1.565","mov edx, dword ptr [rsp+0x34]","0.155"
"9","1.565","lea r10d, ptr [rdx+0x5]","0.231"
"9","1.565","mov dword ptr [rsp+0x18], r10d","0.309"
"9","1.565","lea ecx, ptr [rdx+0x2]","0.174"
"9","1.565","mov dword ptr [rsp+0x14], ecx","0.144"
"9","1.565","cmp byte ptr [r11+0x12], 0x0","0.239"
"9","1.565","jnz 0x7faf280c29b4 <Block 35>","0.312"
"115","0.048","cmp r11d, 0x6","0.048"
"115","0.048","jb 0x7faf280c337d <Block 155>",""
"236","","jmp 0x7faf280c3be2 <Block 236>",""
"116","0.173","mov byte ptr [rdx*8+0x15], 0x1","0.032"
"116","0.173","mov byte ptr [r10+r8*8+0x10], 0x1","0.043"
"116","0.173","mov byte ptr [rcx+r9*8+0x10], 0x1","0.037"
"116","0.173","shl rdx, 0x3","0.039"
"116","0.173","mov r11, rdx","0.012"
"116","0.173","jmp 0x7faf280c28b6 <Block 18>","0.011"
"237","","mov rbx, 0x0",""
"113","0.220","mov r10d, dword ptr [rsp+0x18]","0.030"
"113","0.220","mov rsi, qword ptr [rsp]","0.041"
"113","0.220","mov edx, dword ptr [rsi+0x10]","0.023"
"113","0.220","mov r11d, dword ptr [rdx*8+0xc]","0.034"
"113","0.220","mov r8d, dword ptr [rsi+0xc]","0.078"
"113","0.220","cmp r10d, dword ptr [r8*8+0xc]","0.015"
"113","0.220","jnb 0x7faf280c337d <Block 155>",""
"234","","hlt",""
"234","","call 0x7faf28053f20 <DeoptimizationBlob>",""
"114","0.122","mov ecx, dword ptr [rsp+0x14]","0.090"
"114","0.122","mov r9d, dword ptr [rsi+0x14]","0.026"
"114","0.122","cmp ecx, dword ptr [r9*8+0xc]","0.006"
"114","0.122","jnb 0x7faf280c337d <Block 155>",""
"235","","hlt",""
"235","","hlt",""
"235","","hlt",""
"235","","hlt",""
"235","","hlt",""
"235","","hlt",""
"235","","hlt",""
"235","","hlt",""
"235","","mov rbx, 0x0",""
"119","0.137","mov r11, rsi","0.057"
"119","0.137","mov edx, r8d","0.025"
"119","0.137","nop","0.030"
"119","0.137","call 0x7faf2804e380 <resolve_opt_virtual_call>","0.025"
"117","0.119","mov ecx, dword ptr [rsi+0x18]","0.024"
"117","0.119","cmp dword ptr [rcx*8+0xc], 0x7","0.034"
"117","0.119","jb 0x7faf280c3251 <Block 139>","0.061"
"238","","jmp 0x7faf280c3bf1 <Block 238>",""
"118","0.208","mov ebx, dword ptr [rsp+0x34]","0.019"
"118","0.208","mov dword ptr [rcx*8+0x28], ebx","0.042"
"118","0.208","mov byte ptr [r11+0x16], 0x0","0.057"
"118","0.208","mov byte ptr [r10+rdx*8+0x10], 0x0","0.029"
"118","0.208","mov byte ptr [r8+r9*8+0x10], 0x0","0.021"
"118","0.208","cmp ebx, 0x7","0.041"
"118","0.208","jz 0x7faf280c3212 <Block 135>",""
"239","","mov rbx, 0x0",""
"38","0.202","cmp byte ptr [r10+rdi*8+0x10], 0x0","0.131"
"38","0.202","jnz 0x7faf280c2d78 <Block 85>","0.072"
"210","","nop dword ptr [rax+rax*1]",""
"210","","mov dword ptr [r15+0x484], 0xfffffff5",""
"210","","mov qword ptr [r15+0x490], 0x0",""
"210","","call 0x7faf2805417a",""
"39","0.015","mov r8d, r10d","0.007"
"39","0.015","data16 nop","0.003"
"39","0.015","jmp 0x7faf280c2854 <Block 11>","0.005"
"211","","nop dword ptr [rax+rax*1]",""
"211","","mov dword ptr [r15+0x484], 0xfffffff5",""
"211","","mov qword ptr [r15+0x490], 0x0",""
"211","","call 0x7faf2805417a",""
"34","0.011","mov r9d, r10d","0.005"
"34","0.011","jmp 0x7faf280c2827 <Block 8>","0.006"
"35","0.189","mov ebx, dword ptr [rsi+0xc]","0.053"
"35","0.189","nop word ptr [rax+rax*1]","0.054"
"35","0.189","cmp ecx, dword ptr [rbx*8+0xc]","0.083"
"35","0.189","jnb 0x7faf280c32e5 <Block 147>",""
"36","0.301","cmp byte ptr [rcx+rbx*8+0x10], 0x0","0.169"
"36","0.301","jz 0x7faf280c2bcd <Block 66>","0.132"
"37","0.140","mov edi, dword ptr [rsi+0x14]","0.071"
"37","0.140","nop dword ptr [rax+rax*1]","0.035"
"37","0.140","cmp r10d, dword ptr [rdi*8+0xc]","0.035"
"37","0.140","jnb 0x7faf280c32e5 <Block 147>",""
"30","0.261","mov r8d, dword ptr [rsp+0x30]","0.051"
"30","0.261","mov ecx, dword ptr [rsi+0xc]","0.147"
"30","0.261","cmp r8d, dword ptr [rcx*8+0xc]","0.063"
"30","0.261","jnb 0x7faf280c3278 <Block 141>",""
"31","0.380","nop word ptr [rax+rax*1]","0.146"
"31","0.380","cmp byte ptr [r8+rcx*8+0x10], 0x0","0.058"
"31","0.380","jz 0x7faf280c2bc5 <Block 65>","0.175"
"2","1.301","mov dword ptr [rsp-0x14000], eax","0.419"
"2","1.301","sub rsp, 0x48","0.455"
"2","1.301","cmp dword ptr [r15+0x20], 0x1","0.258"
"2","1.301","jnz 0x7faf280c34b8 <Block 176>","0.168"
"32","0.077","mov ebx, dword ptr [rsi+0x14]","0.042"
"32","0.077","cmp r10d, dword ptr [rbx*8+0xc]","0.035"
"32","0.077","jnb 0x7faf280c3278 <Block 141>",""
"1","","mov r10d, dword ptr [rsi+0x8]",""
"1","","mov r12, 0x7faeb7000000",""
"1","","add r10, r12",""
"1","","xor r12, r12",""
"1","","cmp rax, r10",""
"1","","jnz 0x7faf2804e080 <ic_miss_stub>",""
"33","0.176","data16 nop","0.088"
"33","0.176","cmp byte ptr [r10+rbx*8+0x10], 0x0","0.023"
"33","0.176","jnz 0x7faf280c2cbd <Block 77>","0.066"
"209","","nop dword ptr [rax+rax*1]",""
"209","","mov dword ptr [r15+0x484], 0xfffffff5",""
"209","","mov qword ptr [r15+0x490], 0x0",""
"209","","call 0x7faf2805417a",""
"203","","nop dword ptr [rax+rax*1]",""
"203","","mov dword ptr [r15+0x484], 0xfffffff5",""
"203","","mov qword ptr [r15+0x490], 0x0",""
"203","","call 0x7faf2805417a",""
"204","","nop dword ptr [rax+rax*1]",""
"204","","mov dword ptr [r15+0x484], 0xfffffff5",""
"204","","mov qword ptr [r15+0x490], 0x0",""
"204","","data16 nop",""
"204","","call 0x7faf2805417a",""
"201","","nop dword ptr [rax+rax*1]",""
"201","","mov dword ptr [r15+0x484], 0xfffffff5",""
"201","","mov qword ptr [r15+0x490], 0x0",""
"201","","call 0x7faf2805417a",""
"202","","nop dword ptr [rax+rax*1]",""
"202","","mov dword ptr [r15+0x484], 0xfffffff5",""
"202","","mov qword ptr [r15+0x490], 0x0",""
"202","","call 0x7faf2805417a",""
"207","","nop dword ptr [rax+rax*1]",""
"207","","mov dword ptr [r15+0x484], 0xfffffff5",""
"207","","mov qword ptr [r15+0x490], 0x0",""
"207","","call 0x7faf2805417a",""
"208","","nop dword ptr [rax+rax*1]",""
"208","","mov dword ptr [r15+0x484], 0xfffffff5",""
"208","","mov qword ptr [r15+0x490], 0x0",""
"208","","call 0x7faf2805417a",""
"205","","nop dword ptr [rax+rax*1]",""
"205","","mov dword ptr [r15+0x484], 0xfffffff5",""
"205","","mov qword ptr [r15+0x490], 0x0",""
"205","","call 0x7faf2805417a",""
"206","","nop dword ptr [rax+rax*1]",""
"206","","mov dword ptr [r15+0x484], 0xfffffff5",""
"206","","mov qword ptr [r15+0x490], 0x0",""
"206","","call 0x7faf2805417a",""
"27","0.004","mov edi, dword ptr [rsi+0x14]","0"
"27","0.004","data16 nop",""
"27","0.004","cmp r9d, dword ptr [rdi*8+0xc]","0.004"
"27","0.004","jnb 0x7faf280c322e <Block 137>",""
"100","0.225","mov byte ptr [rdx*8+0x13], 0x1","0.014"
"100","0.225","mov byte ptr [r9+r11*8+0x10], 0x1","0.068"
"100","0.225","mov byte ptr [r8+rcx*8+0x10], 0x1","0.064"
"100","0.225","shl rdx, 0x3","0.040"
"100","0.225","mov r11, rdx","0.018"
"100","0.225","jmp 0x7faf280c2883 <Block 14>","0.022"
"221","","nop dword ptr [rax+rax*1]",""
"221","","mov dword ptr [r15+0x484], 0xfffffff5",""
"221","","mov qword ptr [r15+0x490], 0x0",""
"221","","call 0x7faf2805417a",""
"28","0.005","cmp byte ptr [r9+rdi*8+0x10], 0x0","0.001"
"28","0.005","jz 0x7faf280c2800 <Block 5>","0.004"
"101","0.151","mov ecx, dword ptr [rsi+0x18]","0.030"
"101","0.151","nop dword ptr [rax+rax*1]","0.039"
"101","0.151","cmp dword ptr [rcx*8+0xc], 0x5","0.030"
"101","0.151","jb 0x7faf280c32be <Block 145>","0.053"
"222","","nop dword ptr [rax+rax*1]",""
"222","","mov dword ptr [r15+0x484], 0xfffffff5",""
"222","","mov qword ptr [r15+0x490], 0x0",""
"222","","call 0x7faf2805417a",""
"29","0.003","jmp 0x7faf280c2be7 <Block 69>","0.003"
"220","","nop dword ptr [rax+rax*1]",""
"220","","mov dword ptr [r15+0x484], 0xfffffff5",""
"220","","mov qword ptr [r15+0x490], 0x0",""
"220","","call 0x7faf2805417a",""
"23","0.795","mov eax, 0x0","0.174"
"23","0.795","mov rbp, qword ptr [rsp+0x40]","0.213"
"23","0.795","add rsp, 0x48","0.166"
"23","0.795","cmp rsp, qword ptr [r15+0x450]","0.241"
"23","0.795","jnbe 0x7faf280c34c8 <Block 179>",""
"24","0.169","ret","0.169"
"25","0.005","mov ecx, dword ptr [rsi+0xc]",""
"25","0.005","nop word ptr [rax+rax*1]",""
"25","0.005","cmp edx, dword ptr [rcx*8+0xc]","0.005"
"25","0.005","jnb 0x7faf280c322e <Block 137>",""
"26","0.018","mov ebx, edx","0.005"
"26","0.018","cmp byte ptr [rbx+rcx*8+0x10], 0x0",""
"26","0.018","jz 0x7faf280c2800 <Block 5>","0.013"
"20","0.086","mov r9d, dword ptr [rsp+0x30]","0.086"
"21","0.603","nop dword ptr [rax+rax*1]","0.267"
"21","0.603","cmp dword ptr [r11+0xc], 0x8","0.179"
"21","0.603","jb 0x7faf280c3462 <Block 167>","0.156"
"22","0.465","cmp byte ptr [r11+0x17], 0x0","0.198"
"22","0.465","jnz 0x7faf280c2b65 <Block 60>","0.267"
"214","","nop dword ptr [rax+rax*1]",""
"214","","mov dword ptr [r15+0x484], 0xfffffff5",""
"214","","mov qword ptr [r15+0x490], 0x0",""
"214","","data16 nop",""
"214","","call 0x7faf2805417a",""
"215","","nop dword ptr [rax+rax*1]",""
"215","","mov dword ptr [r15+0x484], 0xfffffff5",""
"215","","mov qword ptr [r15+0x490], 0x0",""
"215","","call 0x7faf2805417a",""
"212","","nop dword ptr [rax+rax*1]",""
"212","","mov dword ptr [r15+0x484], 0xfffffff5",""
"212","","mov qword ptr [r15+0x490], 0x0",""
"212","","call 0x7faf2805417a",""
"213","","nop dword ptr [rax+rax*1]",""
"213","","mov dword ptr [r15+0x484], 0xfffffff5",""
"213","","mov qword ptr [r15+0x490], 0x0",""
"213","","call 0x7faf2805417a",""
"218","","nop dword ptr [rax+rax*1]",""
"218","","mov dword ptr [r15+0x484], 0xfffffff5",""
"218","","mov qword ptr [r15+0x490], 0x0",""
"218","","call 0x7faf2805417a",""
"219","","nop dword ptr [rax+rax*1]",""
"219","","mov dword ptr [r15+0x484], 0xfffffff5",""
"219","","mov qword ptr [r15+0x490], 0x0",""
"219","","call 0x7faf2805417a",""
"216","","nop dword ptr [rax+rax*1]",""
"216","","mov dword ptr [r15+0x484], 0xfffffff5",""
"216","","mov qword ptr [r15+0x490], 0x0",""
"216","","call 0x7faf2805417a",""
"217","","nop dword ptr [rax+rax*1]",""
"217","","mov dword ptr [r15+0x484], 0xfffffff5",""
"217","","mov qword ptr [r15+0x490], 0x0",""
"217","","call 0x7faf2805417a",""
"151","","mov edx, dword ptr [rsp+0x34]",""
"151","","mov dword ptr [r15+0x484], 0xffffffe5",""
"151","","mov qword ptr [r15+0x490], 0x0",""
"151","","call 0x7faf2805417a",""
"152","","nop dword ptr [rax+rax*1]",""
"150","","nop dword ptr [rax+rax*1]",""
"155","","mov edx, dword ptr [rsp+0x34]",""
"155","","mov dword ptr [r15+0x484], 0xffffffe5",""
"155","","mov qword ptr [r15+0x490], 0x0",""
"155","","call 0x7faf2805417a",""
"156","","nop dword ptr [rax+rax*1]",""
"153","","mov edx, dword ptr [rsp+0x34]",""
"153","","mov dword ptr [r15+0x484], 0xffffffe5",""
"153","","mov qword ptr [r15+0x490], 0x0",""
"153","","call 0x7faf2805417a",""
"154","","nop dword ptr [rax+rax*1]",""
"56","0.599","nop word ptr [rax+rax*1]","0.242"
"56","0.599","cmp byte ptr [r10+rdx*8+0x10], 0x0","0.117"
"56","0.599","jz 0x7faf280c2bdd <Block 68>","0.240"
"57","0.396","mov r8d, dword ptr [rsp+0x30]","0.098"
"57","0.396","mov r9d, dword ptr [rsi+0x14]","0.075"
"57","0.396","nop word ptr [rax+rax*1]","0.118"
"57","0.396","cmp r8d, dword ptr [r9*8+0xc]","0.106"
"57","0.396","jnb 0x7faf280c3251 <Block 139>",""
"58","0.379","cmp byte ptr [r8+r9*8+0x10], 0x0","0.186"
"58","0.379","jnz 0x7faf280c307e <Block 117>","0.192"
"59","0.204","mov r9d, r8d","0.080"
"59","0.204","data16 nop","0.056"
"59","0.204","jmp 0x7faf280c28db <Block 21>","0.069"
"52","0.400","mov ecx, dword ptr [rsp+0x14]","0.077"
"52","0.400","mov r8d, dword ptr [rsi+0x14]","0.092"
"52","0.400","nop dword ptr [rax+rax*1]","0.054"
"52","0.400","data16 nop","0.098"
"52","0.400","cmp ecx, dword ptr [r8*8+0xc]","0.080"
"52","0.400","jnb 0x7faf280c3308 <Block 149>",""
"53","0.338","cmp byte ptr [rcx+r8*8+0x10], 0x0","0.157"
"53","0.338","jz 0x7faf280c28b6 <Block 18>","0.180"
"54","0.014","jmp 0x7faf280c2fb8 <Block 109>","0.014"
"55","0.316","mov r10d, dword ptr [rsp+0x1c]","0.114"
"55","0.316","mov edx, dword ptr [rsi+0xc]","0.094"
"55","0.316","cmp r10d, dword ptr [rdx*8+0xc]","0.109"
"55","0.316","jnb 0x7faf280c3251 <Block 139>",""
"50","0.321","mov r10d, dword ptr [rsp+0x18]","0.081"
"50","0.321","mov edx, dword ptr [rsi+0xc]","0.148"
"50","0.321","cmp r10d, dword ptr [rdx*8+0xc]","0.092"
"50","0.321","jnb 0x7faf280c3308 <Block 149>",""
"51","0.676","nop word ptr [rax+rax*1]","0.286"
"51","0.676","cmp byte ptr [r10+rdx*8+0x10], 0x0","0.131"
"51","0.676","jz 0x7faf280c28b6 <Block 18>","0.259"
"148","","nop dword ptr [rax+rax*1]",""
"149","","mov edx, dword ptr [rsp+0x34]",""
"149","","mov dword ptr [r15+0x484], 0xffffffe5",""
"149","","mov qword ptr [r15+0x490], 0x0",""
"149","","call 0x7faf2805417a",""
"146","","nop dword ptr [rax+rax*1]",""
"147","","mov dword ptr [r15+0x484], 0xffffffe5",""
"147","","mov qword ptr [r15+0x490], 0x0",""
"147","","call 0x7faf2805417a",""
"162","","nop dword ptr [rax+rax*1]",""
"163","","mov edx, dword ptr [rsp+0x34]",""
"163","","mov dword ptr [r15+0x484], 0xffffffe5",""
"163","","mov qword ptr [r15+0x490], 0x0",""
"163","","call 0x7faf2805417a",""
"160","","nop dword ptr [rax+rax*1]",""
"161","","mov edx, dword ptr [rsp+0x34]",""
"161","","mov dword ptr [r15+0x484], 0xffffffe5",""
"161","","mov qword ptr [r15+0x490], 0x0",""
"161","","call 0x7faf2805417a",""
"49","0.024","jmp 0x7faf280c2ef8 <Block 101>","0.024"
"166","","nop dword ptr [rax+rax*1]",""
"167","","mov edx, dword ptr [rsp+0x34]",""
"164","","nop dword ptr [rax+rax*1]",""
"165","","mov edx, dword ptr [rsp+0x34]",""
"165","","mov dword ptr [r15+0x484], 0xffffffe5",""
"165","","mov qword ptr [r15+0x490], 0x0",""
"165","","call 0x7faf2805417a",""
"45","0.293","mov edx, dword ptr [rsi+0xc]","0.144"
"45","0.293","nop word ptr [rax+rax*1]","0.070"
"45","0.293","cmp r8d, dword ptr [rdx*8+0xc]","0.079"
"45","0.293","jnb 0x7faf280c32be <Block 145>",""
"46","0.337","cmp byte ptr [r8+rdx*8+0x10], 0x0","0.194"
"46","0.337","jz 0x7faf280c2899 <Block 16>","0.142"
"47","0.173","mov r10d, dword ptr [rsi+0x14]","0.050"
"47","0.173","data16 nop","0.077"
"47","0.173","cmp r9d, dword ptr [r10*8+0xc]","0.047"
"47","0.173","jnb 0x7faf280c32be <Block 145>",""
"48","0.241","cmp byte ptr [r9+r10*8+0x10], 0x0","0.099"
"48","0.241","jz 0x7faf280c2899 <Block 16>","0.142"
"41","0.431","nop word ptr [rax+rax*1]","0.157"
"41","0.431","cmp byte ptr [r9+rbx*8+0x10], 0x0","0.087"
"41","0.431","jz 0x7faf280c2bd5 <Block 67>","0.187"
"42","0.136","mov edi, dword ptr [rsi+0x14]","0.071"
"42","0.136","cmp r10d, dword ptr [rdi*8+0xc]","0.065"
"42","0.136","jnb 0x7faf280c329b <Block 143>",""
"43","0.291","data16 nop","0.113"
"43","0.291","cmp byte ptr [r10+rdi*8+0x10], 0x0","0.061"
"43","0.291","jnz 0x7faf280c2e38 <Block 93>","0.118"
"44","0.056","mov r8d, r10d","0.027"
"44","0.056","jmp 0x7faf280c2883 <Block 14>","0.029"
"40","0.181","mov ebx, dword ptr [rsi+0xc]","0.098"
"40","0.181","cmp r9d, dword ptr [rbx*8+0xc]","0.084"
"40","0.181","jnb 0x7faf280c329b <Block 143>",""
"159","","mov dword ptr [r15+0x484], 0xffffffe5",""
"159","","mov qword ptr [r15+0x490], 0x0",""
"159","","data16 nop",""
"159","","call 0x7faf2805417a",""
"157","","mov dword ptr [r15+0x484], 0xffffffe5",""
"157","","mov qword ptr [r15+0x490], 0x0",""
"157","","call 0x7faf2805417a",""
